objectid,artifact,classification,chronotype,form,portion,date_established,region,site_name,cadastral_map_id,site_code,site_type,location_note,transect,unit,survey,fineware_type,fabric_color,fabric_color_munsell,decoration,sc_id,sc_link,publication_doi,comment_1,comment_2,pres_length,pres_width,pres_thick,pres_diam,elevation,latitude,longitude,x_coord,y_coord
2000_cc15_bozkaya_001,ceramic,coarseware,coarseware,NA,handle,NA,Adanda,Bozkaya,NA,RC0015,fortifications,Bozkaya Mt,NA,CC15,2000,NA,NA,NA,smooth wall,NA,NA,10.4231/37AB-W910,possibly Early Roman,NA,NA,NA,NA,NA,NA,36.24029603,32.43750878,449458,4010748
2000_cc15_bozkaya_002,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Bozkaya,NA,RC0015,fortifications,Bozkaya Mt,NA,CC15,2000,NA,NA,NA,smooth wall,NA,NA,10.4231/37AB-W910,possibly Early Roman,NA,NA,NA,NA,NA,NA,36.24029603,32.43750878,449458,4010748
2000_cc15_bozkaya_003,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Bozkaya,NA,RC0015,fortifications,Bozkaya Mt,NA,CC15,2000,NA,NA,NA,smooth wall,NA,NA,10.4231/37AB-W910,possibly Early Roman,NA,NA,NA,NA,NA,NA,36.24029603,32.43750878,449458,4010748
2000_cc34-001,ceramic,cookware,cookware,stewpot,rim,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,Law collect,NA,CC34,2000,NA,NA,NA,"flat top, rounded below",NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,NA,36.2355909,32.4493386,451272,4005935
2000_cc34-002,ceramic,fineware,Early Roman fineware,NA,base,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,Law collect,NA,CC34,2000,NA,looks CS,NA,no slip visible,NA,NA,10.4231/37AB-W910,tall narrow foot,NA,NA,NA,NA,NA,NA,36.2355909,32.4493386,451272,4005935
2000_su10a-cc14-001,ceramic,commonware,commonware,basin,rim,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,tower on fire break,SU 10a,CC14,2000,NA,NA,NA,large worn,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,NA,36.21921765,32.44130907,449786,4008408
2000_su11a_001,ceramic,pithos,pithos,pithos,handle,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,terrace west of Lamos,SU 11a,CC11,2000,NA,local orange,NA,white inclusions,NA,NA,10.4231/37AB-W910,ledge handle?,NA,NA,NA,NA,NA,NA,36.24305684,32.44568028,450194,4011050
2000_su11b_001,ceramic,coarseware,coarseware,NA,handle,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,terrace west of Lamos,SU 11b,CC11,2000,NA,NA,NA,worn,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,NA,36.24305684,32.44568028,450194,4011050
2000_su11b_002,ceramic,coarseware,coarseware,NA,handle,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,terrace west of Lamos,SU 11b,CC11,2000,NA,NA,NA,worn,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,NA,36.24305684,32.44568028,450194,4011050
2000_su11b_003,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,terrace west of Lamos,SU 11b,CC11,2000,NA,NA,NA,wheel-ridged,NA,NA,10.4231/37AB-W910,small,NA,NA,NA,NA,NA,NA,36.24305684,32.44568028,450194,4011050
2000_su11b_004,ceramic,fineware,CS 11,bowl,rim,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,terrace west of Lamos,SU 11b,CC11,2000,NA,CS fabric,NA,no slip visible,NA,NA,10.4231/37AB-W910,flat everted,NA,NA,NA,NA,NA,NA,36.24305684,32.44568028,450194,4011050
2000_su11b_005,ceramic,fineware,Early Roman fineware,flanged cup,profile,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,terrace west of Lamos,SU 11b,CC11,2000,NA,no slip,NA,looks CS,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,NA,36.24305684,32.44568028,450194,4011050
2000_su11b_006,ceramic,fineware,commonware,jar,shoulder,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,terrace west of Lamos,SU 11b,CC11,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,NA,36.24305684,32.44568028,450194,4011050
2000_su11b_007,ceramic,fineware,CRS fineware,bowl,ringfoot,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,terrace west of Lamos,SU 11b,CC11,2000,NA,no slip,NA,very worn,NA,NA,10.4231/37AB-W910,"high ring foot, possibly CRS",NA,NA,NA,NA,NA,NA,36.24305684,32.44568028,450194,4011050
2000_su11c_001,ceramic,commonware,commonware,pitcher,handle,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,terrace west of Lamos,SU 11b,CC11,2000,NA,NA,NA,straight oval handle,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,NA,36.24305684,32.44568028,450355,4010500
2000_su11c_002,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,terrace west of Lamos,SU 11b,CC11,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,NA,36.24305684,32.44568028,450355,4010500
2000_su11c_003,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,terrace west of Lamos,SU 11b,CC11,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,NA,36.24305684,32.44568028,450355,4010500
2000_su12b-cc18-001,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,terrace west of Lamos,SU 12b,CC18,2000,NA,NA,NA,no slip visible,NA,NA,10.4231/37AB-W910,molded small form,NA,NA,NA,NA,NA,523.596,36.23125177,32.40544765,446571.17,4009761.7
2000_su12b-cc18-002,ceramic,cookware,West Cilicia everted rim stewpot,stewpot,rim,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,terrace west of Lamos,SU 12b,CC18,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,523.596,36.23125177,32.40544765,446571.17,4009761.7
2000_su12b-cc18-003,ceramic,fineware,CS fineware,NA,rim,Early Roman,Adanda,Adanda Rural,NA,rural transect,sherd scatter,terrace west of Lamos,SU 12b,CC18,2000,CS,very fine,NA,no slip visible,NA,NA,10.4231/37AB-W910,possible CS skyphos,NA,NA,NA,NA,NA,523.596,36.23125177,32.40544765,446571.17,4009761.7
2000_su12b-cc18-004,ceramic,fineware,CS fineware,NA,ringfoot,Early Roman,Adanda,Adanda Rural,NA,rural transect,sherd scatter,terrace west of Lamos,SU 12b,CC18,2000,CS,ringfoot,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,523.596,36.23125177,32.40544765,446571.17,4009761.7
2000_su12b-cc18-005,ceramic,cookware,frying pan,frying pan,rim,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,terrace west of Lamos,SU 12b,CC18,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,looks unused,NA,NA,NA,NA,NA,523.596,36.23125177,32.40544765,446571.17,4009761.7
2000_su12c-001,ceramic,fineware,CRS fineware,bowl,base,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,terrace west of Lamos,SU 12c,NA,2000,NA,NA,NA,slip visible,NA,NA,10.4231/37AB-W910,thick form,NA,NA,NA,NA,NA,451,36.23431115,32.40426715,446467,4010102
2000_su12e-cc20-001,ceramic,cookware,stewpot,stewpot,rim,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,terrace west of Lamos,SU 12e,CC20,2000,NA,local fabric,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,530.255,36.23145139,32.40174391,446238.299,4009786.19
2000_su12f_001,ceramic,commonware,commonware,bowl,rim,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,terrace west of Lamos,SU 12f,ca1,2000,NA,NA,NA,smooth wall,NA,NA,10.4231/37AB-W910,flat horizontal,NA,NA,NA,NA,NA,NA,36.23318055,32.39992466,446076,4009979
2000_su12f_002,ceramic,commonware,thin walled commonware,mug,bodysherd,Early Roman,Adanda,Adanda Rural,NA,rural transect,sherd scatter,terrace west of Lamos,SU 12f,ca1,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,NA,36.23318055,32.39992466,446076,4009979
2000_su15_001,ceramic,amphora,Zemer 41 amphora (whiteware),amphora,toe,Early Roman,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 15,at GPS point,2000,NA,NA,NA,pithos sherd too,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,325.35,36.23027652,32.41666584,447578.474,4009647.7
2000_su15_002,ceramic,coarseware,coarseware,NA,handle attachment,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 15,at GPS point,2000,NA,NA,NA,pithos sherd too,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,325.35,36.23027652,32.41666584,447578.474,4009647.7
2000_su15-003,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 15a,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,154,36.23292482,32.42121451,447989,4009939
2000_su17b-001,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 17b,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,small,NA,NA,NA,NA,NA,379.242,36.22493295,32.42466882,448294.155,4009050.69
2000_su19a-001,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 19a,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,small,NA,NA,NA,NA,NA,419,36.22113421,32.43666688,449370,4008623
2000_su19a-002,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 19a,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,small,NA,NA,NA,NA,NA,419,36.22113421,32.43666688,449370,4008623
2000_su19a-003,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 19a,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,small,NA,NA,NA,NA,NA,419,36.22113421,32.43666688,449370,4008623
2000_su19a-004,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 19a,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,small,NA,NA,NA,NA,NA,419,36.22113421,32.43666688,449370,4008623
2000_su19a-005,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 19a,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,small,NA,NA,NA,NA,NA,419,36.22113421,32.43666688,449370,4008623
2000_su19b-006,ceramic,amphora,Zemer 41 amphora,amphora,bodysherd,Early Roman,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 19b,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,419,36.22113421,32.43666688,449370,4008623
2000_su19b-007,ceramic,amphora,Zemer 41 amphora,amphora,bodysherd,Early Roman,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 19b,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,419,36.22113421,32.43666688,449370,4008623
2000_su19b-008,ceramic,amphora,Zemer 41 amphora,amphora,bodysherd,Early Roman,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 19b,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,419,36.22113421,32.43666688,449370,4008623
2000_su19b-009,ceramic,amphora,Zemer 41 amphora,amphora,bodysherd,Early Roman,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 19b,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,419,36.22113421,32.43666688,449370,4008623
2000_su19b-010,ceramic,amphora,Zemer 41 amphora,amphora,bodysherd,Early Roman,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 19b,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,419,36.22113421,32.43666688,449370,4008623
2000_su19b-011,ceramic,amphora,Zemer 41 amphora,amphora,bodysherd,Early Roman,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 19b,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,419,36.22113421,32.43666688,449370,4008623
2000_su19b-012,ceramic,amphora,Zemer 41 amphora,amphora,bodysherd,Early Roman,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 19b,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,419,36.22113421,32.43666688,449370,4008623
2000_su19b-013,ceramic,amphora,Zemer 41 amphora,amphora,bodysherd,Early Roman,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 19b,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,419,36.22113421,32.43666688,449370,4008623
2000_su19b-014,ceramic,amphora,Zemer 41 amphora,amphora,bodysherd,Early Roman,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 19b,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,419,36.22113421,32.43666688,449370,4008623
2000_su19b-015,ceramic,commonware,thin walled commonware,jug or mug,bodysherd,Early Roman,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 19b,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,419,36.22113421,32.43666688,449370,4008623
2000_su1d-001,ceramic,cookware,stewpot,stewpot,rim,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,NA,SU 1d,feature 1,2000,NA,local orange,NA,NA,NA,NA,10.4231/37AB-W910,thick drooping rim,NA,NA,NA,NA,NA,1063.659,36.22863681,32.47998498,453267.745,4009433.44
2000_su1d-002,ceramic,roof tile,roof tile,pan tile,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,NA,SU 1d,feature 1,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,1063.659,36.22863681,32.47998498,453267.745,4009433.44
2000_su1d-003,ceramic,cookware,stewpot,stewpot,rim,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,NA,SU 1d,feature 1,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,1063.659,36.22863681,32.47998498,453267.745,4009433.44
2000_su23a-001,ceramic,loomweight,loomweight,loomweight,NA,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,375.613,36.22381403,32.43007254,448779.07,4008923.71
2000_su23a-002,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23,NA,2000,NA,NA,NA,wheel-ridged,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,375.613,36.22381403,32.43007254,448779.07,4008923.71
2000_su23a-003,ceramic,coarseware,coarseware,NA,tile,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,375.613,36.22381403,32.43007254,448779.07,4008923.71
2000_su23a-004,ceramic,cookware,stewpot,stewpot,handle,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23a,NA,2000,NA,local fabric,NA,NA,NA,NA,10.4231/37AB-W910,small oval handle,NA,NA,NA,NA,NA,278,36.22610716,32.4339941,449133,4009176
2000_su23a-005,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23a,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,278,36.22610716,32.4339941,449133,4009176
2000_su23a-006,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23a,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,278,36.22610716,32.4339941,449133,4009176
2000_su23a-007,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23a,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,278,36.22610716,32.4339941,449133,4009176
2000_su23a-008,ceramic,cookware,cassarole,casserole,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23a,NA,2000,NA,whiteware,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,278,36.22610716,32.4339941,449133,4009176
2000_su23b-009,ceramic,amphora,amphora,amphora,handle,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23b,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,303,36.22610716,32.4339941,448993,4009113
2000_su23b-010,ceramic,amphora,amphora,amphora,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23b,NA,2000,NA,NA,NA,smooth wall,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,303,36.22610716,32.4339941,448993,4009113
2000_su23b-011,ceramic,amphora,amphora,amphora,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23b,NA,2000,NA,NA,NA,smooth wall,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,303,36.22610716,32.4339941,448993,4009113
2000_su23b-012,ceramic,amphora,amphora,amphora,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23b,NA,2000,NA,NA,NA,smooth wall,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,303,36.22610716,32.4339941,448993,4009113
2000_su23b-013,ceramic,amphora,amphora,amphora,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23b,NA,2000,NA,NA,NA,smooth wall,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,303,36.22610716,32.4339941,448993,4009113
2000_su23b-014,ceramic,amphora,amphora,amphora,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23b,NA,2000,NA,NA,NA,smooth wall,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,303,36.22610716,32.4339941,448993,4009113
2000_su23b-015,ceramic,amphora,amphora,amphora,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23b,NA,2000,NA,NA,NA,smooth wall,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,303,36.22610716,32.4339941,448993,4009113
2000_su23c-016,ceramic,amphora,amphora,amphora,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23c,NA,2000,NA,NA,NA,smooth wall,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,331,36.22502296,32.4315985,448917,4009057
2000_su23c-017,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23c,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,331,36.22502296,32.4315985,448917,4009057
2000_su23c-018,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23c,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,331,36.22502296,32.4315985,448917,4009057
2000_su23c-019,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23c,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,331,36.22502296,32.4315985,448917,4009057
2000_su23c-020,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23c,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,331,36.22502296,32.4315985,448917,4009057
2000_su23c-021,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23c,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,331,36.22502296,32.4315985,448917,4009057
2000_su23c-022,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23c,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,331,36.22502296,32.4315985,448917,4009057
2000_su23c-023,ceramic,coarseware,coarseware,NA,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 23c,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,331,36.22502296,32.4315985,448917,4009057
2000_su24t_cc27-001,ceramic,cookware,West Cilicia everted rim stewpot,stewpot,rim,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,NA,SU 24t,CC27,2000,NA,orange,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,NA,36.23259938,32.41362763,449641,4006670
2000_su24t_cc27-002,ceramic,cookware,cookware,stewpot,rim,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,NA,SU 24t,CC27,2000,NA,NA,NA,horizontal everted rim,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,NA,36.23259938,32.41362763,449641,4006670
2000_su24t_cc27-003,ceramic,loomweight,loomweight,loomweight,NA,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,NA,SU 24t,CC27,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,NA,36.23259938,32.41362763,449641,4006670
2000_su24t_cc27-004,ceramic,amphora,amphora,amphora,handle,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,NA,SU 24t,CC27,2000,NA,NA,NA,small straight handle slightly turned at top,NA,NA,10.4231/37AB-W910,possible fractional form,NA,NA,NA,NA,NA,NA,36.23259938,32.41362763,449641,4006670
2000_su25b-001,ceramic,amphora,amphora,amphora,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 25b,NA,2000,NA,NA,NA,smooth wall,NA,NA,10.4231/37AB-W910,many inclusions,NA,NA,NA,NA,NA,321,36.23829923,32.41221622,447184,4010540
2000_su25b-002,ceramic,amphora,amphora,amphora,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 25b,NA,2000,NA,NA,NA,smooth wall,NA,NA,10.4231/37AB-W910,many inclusions,NA,NA,NA,NA,NA,321,36.23829923,32.41221622,447184,4010540
2000_su25b-003,ceramic,amphora,amphora,amphora,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 25b,NA,2000,NA,NA,NA,smooth wall,NA,NA,10.4231/37AB-W910,many inclusions,NA,NA,NA,NA,NA,321,36.23829923,32.41221622,447184,4010540
2000_su25b-004,ceramic,amphora,amphora,amphora,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 25b,NA,2000,NA,NA,NA,smooth wall,NA,NA,10.4231/37AB-W910,many inclusions,NA,NA,NA,NA,NA,321,36.23829923,32.41221622,447184,4010540
2000_su25b-005,ceramic,amphora,amphora,amphora,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 25b,NA,2000,NA,NA,NA,smooth wall,NA,NA,10.4231/37AB-W910,many inclusions,NA,NA,NA,NA,NA,321,36.23829923,32.41221622,447184,4010540
2000_su25b-006,ceramic,amphora,amphora,amphora,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 25b,NA,2000,NA,NA,NA,smooth wall,NA,NA,10.4231/37AB-W910,many inclusions,NA,NA,NA,NA,NA,321,36.23829923,32.41221622,447184,4010540
2000_su25b-007,ceramic,amphora,amphora,amphora,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 25b,NA,2000,NA,NA,NA,smooth wall,NA,NA,10.4231/37AB-W910,many inclusions,NA,NA,NA,NA,NA,321,36.23829923,32.41221622,447184,4010540
2000_su25b-008,ceramic,amphora,amphora,amphora,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 25b,NA,2000,NA,NA,NA,smooth wall,NA,NA,10.4231/37AB-W910,many inclusions,NA,NA,NA,NA,NA,321,36.23829923,32.41221622,447184,4010540
2000_su25b-009,ceramic,amphora,amphora,amphora,bodysherd,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 25b,NA,2000,NA,NA,NA,smooth wall,NA,NA,10.4231/37AB-W910,many inclusions,NA,NA,NA,NA,NA,321,36.23829923,32.41221622,447184,4010540
2000_su25b-010,ceramic,cookware,stewpot,stewpot,rim and handle,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 25b,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,321,36.23829923,32.41221622,447184,4010540
2000_su25b-011,ceramic,cookware,stewpot,stewpot,rim and handle,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 25b,NA,2000,NA,NA,NA,NA,NA,NA,10.4231/37AB-W910,NA,NA,NA,NA,NA,NA,321,36.23829923,32.41221622,447184,4010540
2000_su26d-001,ceramic,cookware,stewpot,stewpot,rim,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 26d,CC26,2000,NA,whiteware,NA,NA,NA,NA,10.4231/37AB-W910,triangular rim stewpot,NA,NA,NA,NA,NA,NA,36.20098408,32.44040418,449571,4006759
2000_su26d-002,ceramic,cookware,stewpot,stewpot,rim,NA,Adanda,Adanda Rural,NA,rural transect,sherd scatter,fire break,SU 26d,CC26,2000,NA,whiteware,NA,NA,NA,NA,10.4231/37AB-W910,triangular rim stewpot,NA,NA,NA,NA,NA,NA,36.20098408,32.44040418,449571,4006759
